module,revisions,code
src/renderers/dom/shared/utils/__tests__/setInnerHTML-test.js,4,29
src/renderers/shared/stack/reconciler/ReactNodeTypes.js,4,22
src/renderers/dom/shared/__tests__/quoteAttributeValueForBrowser-test.js,4,30
docs/docs/reconciliation.md,4,99
docs/docs/addons-two-way-binding-helpers.md,4,101
docs/docs/reference-react-dom.md,4,79
src/renderers/dom/shared/ReactDOMSelection.js,4,82
scripts/bench/README.md,4,27
src/renderers/dom/shared/ReactDOMEventListener.js,4,136
fixtures/dom/src/components/fixtures/password-inputs/PasswordTestCase.js,4,33
fixtures/dom/src/style.css,4,185
src/node_modules/react-dom/server.js,4,6
src/renderers/dom/shared/__tests__/ReactDOMAttribute-test.js,4,123
docs/docs/addons-pure-render-mixin.md,4,33
scripts/rollup/shims/facebook-www/ReactFiberErrorLogger.js,4,6
src/renderers/dom/shared/utils/assertValidProps.js,4,66
src/renderers/dom/shared/__tests__/escapeTextContentForBrowser-test.js,4,30
docs/docs/reference-events.md,4,248
src/renderers/dom/shared/__tests__/validateDOMNesting-test.js,4,151
src/renderers/shared/__tests__/ReactDOMFrameScheduling-test.js,4,38
docs/_posts/2016-07-13-mixins-considered-harmful.md,4,459
docs/_data/nav_contributing.yml,4,10
scripts/release-manager/commands/utils/npm.js,4,35
scripts/rollup/shims/react-native/NativeMethodsMixin.js,4,7
src/renderers/dom/shared/utils/isEventSupported.js,4,29
scripts/jest/environment.js,3,13
src/renderers/dom/stack/client/Danger.js,3,32
scripts/rollup/shims/facebook-www/ReactDOMComponentTree.js,3,6
scripts/rollup/shims/facebook-www/ReactInstanceMap.js,3,6
scripts/rollup/shims/react-native/ReactNativePropRegistry.js,3,6
src/isomorphic/ReactEntry.js,3,43
fixtures/dom/src/components/App.js,3,15
scripts/error-codes/invertObject.js,3,12
scripts/rollup/shims/react-native/ReactDebugTool.js,3,6
src/renderers/shared/shared/ReactInstanceMap.js,3,16
fixtures/dom/src/components/Fixture.js,3,17
src/renderers/dom/shared/__tests__/ReactMountDestruction-test.js,3,63
src/renderers/dom/shared/utils/getTextContentAccessor.js,3,12
src/renderers/dom/shared/escapeTextContentForBrowser.js,3,47
CONTRIBUTING.md,3,3
fixtures/packaging/build-all.js,3,39
src/renderers/shared/stack/reconciler/ReactMultiChildUpdateTypes.js,3,7
mocks/ReactElementTestChild.js,3,8
scripts/rollup/shims/facebook-www/findDOMNode.js,3,3
fixtures/art/webpack.config.js,3,34
src/renderers/shared/utils/accumulateInto.js,3,27
src/renderers/dom/stack/client/DOMChildrenOperations.js,3,194
fixtures/packaging/rjs/prod/input.js,3,6
packages/react-dom/server.js,3,6
src/renderers/dom/shared/wrappers/__tests__/ReactDOMIframe-test.js,3,20
scripts/rollup/shims/react-native/TouchHistoryMath.js,3,6
fixtures/packaging/systemjs-builder/prod/input.js,3,6
src/renderers/dom/stack/client/ReactReconcileTransaction.js,3,71
src/renderers/dom/shared/utils/__tests__/getNodeForCharacterOffset-test.js,3,49
docs/docs/addons-update.md,3,86
scripts/rollup/shims/react-native/ReactNative.js,3,9
.github/ISSUE_TEMPLATE.md,3,5
fixtures/fiber-debugger/src/describeFibers.js,3,104
src/isomorphic/classic/__tests__/createReactClassIntegration-test.js,3,407
scripts/release-manager/commands/q.js,3,6
fixtures/packaging/webpack/prod/input.js,3,6
docs/docs/addons-create-fragment.md,3,50
fixtures/dom/public/index.html,3,14
scripts/jest/fiber.setup.js,3,14
fixtures/dom/src/components/FixtureSet.js,3,20
docs/docs/rendering-elements.md,3,66
scripts/tasks/version-check.js,3,27
fixtures/dom/src/components/fixtures/number-inputs/NumberInputDecimal.js,3,29
scripts/error-codes/Types.js,3,1
scripts/rollup/shims/facebook-www/EventPluginUtils.js,3,6
src/renderers/shared/utils/accumulate.js,3,22
src/renderers/dom/stack/client/wrappers/ReactDOMOption.js,3,88
scripts/rollup/shims/facebook-www/EventPluginHub.js,3,6
src/renderers/dom/shared/utils/__tests__/getEventCharCode-test.js,3,59
fixtures/art/package.json,3,13
scripts/rollup/shims/facebook-www/ReactBrowserEventEmitter.js,3,6
scripts/rollup/shims/react-native/createReactNativeComponentClass.js,3,6
src/renderers/dom/shared/ReactDOMClientInjection.js,3,24
docs/_posts/2016-08-05-relay-state-of-the-state.md,3,47
scripts/circleci/test_coverage.sh,3,6
docs/warnings/unknown-prop.md,3,48
src/renderers/dom/stack/client/ReactDOMContainerInfo.js,3,22
docs/docs/addons-shallow-renderer.md,3,49
src/renderers/shared/ReactInstrumentation.js,3,7
scripts/release-manager/commands/utils/git.js,3,60
src/renderers/art/ReactARTFiberEntry.js,3,422
src/renderers/dom/shared/eventPlugins/__tests__/FallbackCompositionState-test.js,3,65
docs/Rakefile,3,63
src/renderers/native/ReactNativeFiberErrorDialog.js,3,24
src/shared/utils/lowPriorityWarning.js,3,26
fixtures/dom/src/tags.js,3,43
fixtures/ssr/server/render.js,3,16
scripts/error-codes/extract-errors.js,3,73
docs/docs/accessibility.md,3,174
fixtures/dom/src/components/fixtures/number-inputs/NumberInputExtraZeroes.js,3,26
scripts/rollup/shims/facebook-www/ReactErrorUtils.js,3,6
src/renderers/shared/shared/shouldUpdateReactComponent.js,3,20
docs/_data/nav_tutorial.yml,3,88
src/renderers/shared/stack/reconciler/__tests__/Transaction-test.js,3,249
src/renderers/testing/__tests__/ReactTestRendererTraversal-test.js,3,116
src/renderers/dom/shared/CSSProperty.js,3,110
scripts/rollup/stats.js,3,63
src/renderers/shared/ReactGlobalSharedState.js,3,13
src/renderers/dom/shared/syntheticEvents/__tests__/SyntheticWheelEvent-test.js,3,45
scripts/rollup/shims/react-native/ReactNativeComponentTree.js,3,6
src/renderers/shared/utils/__tests__/adler32-test.js,3,24
fixtures/attribute-behavior/AttributeTableSnapshot.md,3,12984
src/test/getTestDocument.js,3,12
fixtures/dom/src/components/fixtures/input-change-events/index.js,3,82
fixtures/ssr/server/index.js,3,55
fixtures/attribute-behavior/package.json,3,20
scripts/bench/stats.js,3,145
mocks/ReactMockedComponentTestComponent.js,3,13
fixtures/dom/src/components/fixtures/text-inputs/InputTestCase.js,3,49
docs/docs/addons-shallow-compare.md,3,33
src/renderers/dom/shared/__tests__/ReactServerRenderingBrowser-test.js,3,54
docs/_posts/2013-07-23-community-roundup-5.md,3,74
scripts/rollup/shims/facebook-www/SyntheticUIEvent.js,3,6
docs/_posts/2014-02-05-community-roundup-15.md,3,85
src/node_modules/react-native/index.js,3,2
scripts/error-codes/README.md,3,12
docs/_posts/2013-07-03-community-roundup-4.md,3,42
scripts/rollup/shims/facebook-www/EventPropagators.js,3,6
fixtures/dom/src/components/fixtures/error-handling/index.js,3,156
docs/_includes/navigation.html,3,23
src/renderers/shared/utils/adler32.js,3,28
src/node_modules/react-noop-renderer/index.js,2,2
scripts/rollup/shims/facebook-www/DOMProperty.js,2,5
docs/_posts/2017-06-13-react-v15.6.0.md,2,66
src/renderers/dom/ReactDOMServerNodeEntry.js,2,12
scripts/rollup/shims/react-native/ReactPerf.js,2,5
src/renderers/dom/stack/server/ReactMarkupChecksum.js,2,27
scripts/rollup/plugins/__tests__/wrap-warning-with-env-check-test.js,2,34
scripts/release-manager/commands/start-release.js,2,25
scripts/jest/stack.setup.js,2,8
fixtures/dom/src/components/fixtures/date-inputs/index.js,2,28
src/renderers/dom/shared/HTMLNodeType.js,2,9
eslint-rules/index.js,2,7
docs/_posts/2017-09-08-dom-attributes-in-react-16.md,2,120
docs/_js/ErrorDecoderComponent.js,2,84
docs/docs/reference-pure-render-mixin.md,2,40
